ProsperRating..Alpha.	year	ProsperScore	mean_apr	mean_yield	mean_amount	mean_return	n
D	2012	2	0.2792	0.227145569620253	8589.73417721519	0.1267	237
D	2012	4	0.2783	0.226885977859779	7574.45756457565	0.1272	271
D	2012	5	0.2906	0.238606292749658	8858.29001367989	0.1277	731
D	2012	6	0.2848	0.231455329536208	8125.24898291294	0.1248	1229
D	2012	7	0.2933	0.235698712446352	6760.73819742489	0.123	466
D	2012	8	0.2824	0.219166666666667	6055.55555555556	0.1146	9
D	2012	9	0.2897	0.2352	7000	0.1232	1
D	2013	1	0.2558	0.194856666666667	7172.22222222222	0.0915	18
D	2013	2	0.2751	0.21083088127295	6656.48347613219	0.1039	817
D	2013	4	0.2642	0.203508175	8053.3425	0.0992	1600
D	2013	5	0.2636	0.203799148073022	8058.74239350913	0.1021	493
D	2013	6	0.2627	0.202564813664596	8999.96583850932	0.1002	322
D	2013	7	0.2631	0.204423257575758	8857.68939393939	0.1019	132
D	2013	8	0.2738	0.213218333333333	7696.2962962963	0.1057	54
D	2013	9	0.2711	0.212238571428571	7421.42857142857	0.1097	14
D	2013	10	0.2586	0.20276	5100	0.0993	5
D	2014	1	0.2691	0.206442	7600	0.0909	5
D	2014	2	0.2559	0.193750465116279	6567.61240310077	0.087	129
D	2014	4	0.249	0.190516109660574	9253.79373368146	0.0861	383
D	2014	5	0.2419	0.185631785714286	9060.32142857143	0.0853	56
D	2014	6	0.2395	0.185540930232558	8808.13953488372	0.0846	43
D	2014	7	0.2379	0.184137857142857	7285.71428571429	0.0845	14
D	2014	8	0.2357	0.184656	8550	0.0842	5
E	2009	5	0.3769	0.1727	7500	0.1727	1
E	2009	6	0.3557	0.160371052631579	2851.21929824561	0.1604	114
E	2009	7	0.3538	0.15358	2587.48	0.1536	25
E	2009	8	0.3215	0.122777777777778	2103.51851851852	0.1228	27
E	2009	9	0.3208	0.121747222222222	1781.25	0.1217	36
E	2009	10	0.3313	0.1320375	1556.25	0.132	8
E	2010	4	0.3564	0.2957	4000	0.1487	1
E	2010	5	0.365	0.176844897959184	4097.26530612245	0.1602	196
E	2010	6	0.356	0.160416056338028	3640.80845070423	0.1568	355
E	2010	7	0.3454	0.14689	2612.16666666667	0.1469	30
E	2010	8	0.3267	0.127660714285714	2097.10714285714	0.1277	28
E	2010	9	0.3141	0.117195	2192.5	0.1172	20
E	2010	10	0.3498	0.1478	1960	0.1478	5
E	2011	1	0.3462	0.281895708154506	5423.80686695279	0.1413	233
E	2011	2	0.3467	0.282873863636364	5198.55681818182	0.1452	176
E	2011	4	0.3537	0.289271706758305	5112.46849942726	0.1439	873
E	2011	5	0.3536	0.290098169014085	5186.75774647887	0.1449	710
